90a75961-332c-48e3-a48e-0332d9a9b592_(t),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),90a75961-332c-48e3-a48e-0332d9a9b592_(t-1),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t-1)
0.419,0.535,2.0,0.44,0.541
0.417,0.544,1.0,0.419,0.535
0.423,0.549,1.0,0.417,0.544
0.422,0.529,1.0,0.423,0.549
0.425,0.552,1.0,0.422,0.529
0.447,0.56,0.0,0.425,0.552
0.447,0.561,0.0,0.447,0.56
0.457,0.567,0.0,0.447,0.561
0.463,0.574,1.0,0.457,0.567
0.461,0.557,1.0,0.463,0.574
0.479,0.552,0.0,0.461,0.557
0.483,0.557,1.0,0.479,0.552
0.492,0.564,1.0,0.483,0.557
0.467,0.567,1.0,0.492,0.564
0.46,0.552,0.0,0.467,0.567
0.456,0.56,1.0,0.46,0.552
0.47,0.574,0.0,0.456,0.56
0.456,0.566,0.0,0.47,0.574
0.466,0.562,1.0,0.456,0.566
0.461,0.559,1.0,0.466,0.562
0.459,0.565,0.0,0.461,0.559
0.46,0.557,0.0,0.459,0.565
0.45,0.568,0.0,0.46,0.557
0.438,0.559,0.0,0.45,0.568
0.432,0.559,0.0,0.438,0.559
0.434,0.576,0.0,0.432,0.559
0.434,0.572,1.0,0.434,0.576
0.432,0.57,2.0,0.434,0.572
0.446,0.555,1.0,0.432,0.57
0.461,0.567,1.0,0.446,0.555
0.471,0.564,0.0,0.461,0.567
0.481,0.579,0.0,0.471,0.564
0.474,0.592,0.0,0.481,0.579
0.471,0.597,1.0,0.474,0.592
0.479,0.588,0.0,0.471,0.597
0.469,0.57,0.0,0.479,0.588
0.469,0.563,0.0,0.469,0.57
0.466,0.56,0.0,0.469,0.563
0.46,0.569,1.0,0.466,0.56
0.457,0.563,1.0,0.46,0.569
0.458,0.56,0.0,0.457,0.563
0.451,0.549,1.0,0.458,0.56
0.444,0.545,1.0,0.451,0.549
0.445,0.542,0.0,0.444,0.545
0.449,0.548,0.0,0.445,0.542
0.454,0.546,0.0,0.449,0.548
0.458,0.555,0.0,0.454,0.546
0.459,0.555,0.0,0.458,0.555
0.455,0.554,0.0,0.459,0.555
0.458,0.559,0.0,0.455,0.554
0.459,0.569,1.0,0.458,0.559
0.464,0.572,1.0,0.459,0.569
0.46,0.576,1.0,0.464,0.572
0.45,0.57,0.0,0.46,0.576
0.453,0.576,1.0,0.45,0.57
0.447,0.575,1.0,0.453,0.576
0.453,0.566,1.0,0.447,0.575
0.451,0.569,0.0,0.453,0.566
0.457,0.56,0.0,0.451,0.569
0.447,0.567,0.0,0.457,0.56
0.456,0.569,0.0,0.447,0.567
0.438,0.568,0.0,0.456,0.569
0.453,0.572,0.0,0.438,0.568
0.443,0.568,1.0,0.453,0.572
0.454,0.569,0.0,0.443,0.568
0.451,0.567,0.0,0.454,0.569
0.45,0.549,0.0,0.451,0.567
0.442,0.537,0.0,0.45,0.549
0.439,0.544,0.0,0.442,0.537
0.433,0.554,0.0,0.439,0.544
0.441,0.553,0.0,0.433,0.554
0.431,0.545,0.0,0.441,0.553
0.435,0.555,0.0,0.431,0.545
0.436,0.572,0.0,0.435,0.555
0.446,0.567,0.0,0.436,0.572
0.443,0.593,0.0,0.446,0.567
0.455,0.586,0.0,0.443,0.593
0.445,0.582,1.0,0.455,0.586
0.467,0.579,2.0,0.445,0.582
0.467,0.572,1.0,0.467,0.579
0.458,0.566,1.0,0.467,0.572
0.464,0.576,2.0,0.458,0.566
0.464,0.583,2.0,0.464,0.576
0.452,0.582,1.0,0.464,0.583
0.478,0.585,0.0,0.452,0.582
0.468,0.6,0.0,0.478,0.585
0.48,0.592,0.0,0.468,0.6
0.476,0.584,1.0,0.48,0.592
0.488,0.579,0.0,0.476,0.584
0.49,0.569,0.0,0.488,0.579
0.508,0.572,0.0,0.49,0.569
0.502,0.575,0.0,0.508,0.572
0.499,0.575,0.0,0.502,0.575
0.485,0.556,0.0,0.499,0.575
0.481,0.559,0.0,0.485,0.556
0.489,0.564,0.0,0.481,0.559
0.471,0.552,0.0,0.489,0.564
0.464,0.566,0.0,0.471,0.552
0.463,0.566,0.0,0.464,0.566
0.469,0.581,0.0,0.463,0.566
0.482,0.575,0.0,0.469,0.581
0.47,0.566,0.0,0.482,0.575
0.468,0.563,0.0,0.47,0.566
0.461,0.568,0.0,0.468,0.563
0.456,0.568,1.0,0.461,0.568
0.45,0.567,0.0,0.456,0.568
0.455,0.581,0.0,0.45,0.567
0.451,0.556,0.0,0.455,0.581
0.454,0.541,0.0,0.451,0.556
0.446,0.544,0.0,0.454,0.541
0.453,0.552,0.0,0.446,0.544
0.443,0.545,0.0,0.453,0.552
0.44,0.536,0.0,0.443,0.545
0.451,0.535,1.0,0.44,0.536
0.455,0.544,1.0,0.451,0.535
0.449,0.548,1.0,0.455,0.544
0.463,0.584,1.0,0.449,0.548
0.467,0.573,1.0,0.463,0.584
0.484,0.562,2.0,0.467,0.573
0.499,0.56,1.0,0.484,0.562
0.512,0.557,0.0,0.499,0.56
0.515,0.571,0.0,0.512,0.557
0.498,0.57,0.0,0.515,0.571
0.492,0.56,0.0,0.498,0.57
0.473,0.553,0.0,0.492,0.56
0.483,0.557,0.0,0.473,0.553
0.478,0.545,0.0,0.483,0.557
0.473,0.546,0.0,0.478,0.545
0.474,0.562,0.0,0.473,0.546
0.472,0.556,0.0,0.474,0.562
0.457,0.562,0.0,0.472,0.556
0.466,0.582,0.0,0.457,0.562
0.447,0.584,0.0,0.466,0.582
0.45,0.589,0.0,0.447,0.584
0.466,0.618,0.0,0.45,0.589
0.467,0.62,0.0,0.466,0.618
0.467,0.592,0.0,0.467,0.62
0.464,0.58,1.0,0.467,0.592
0.46,0.579,1.0,0.464,0.58
0.46,0.571,1.0,0.46,0.579
0.459,0.571,1.0,0.46,0.571
0.454,0.551,0.0,0.459,0.571
0.454,0.545,0.0,0.454,0.551
0.451,0.539,0.0,0.454,0.545
0.459,0.548,1.0,0.451,0.539
0.458,0.556,1.0,0.459,0.548
0.441,0.573,1.0,0.458,0.556
0.432,0.571,0.0,0.441,0.573
0.429,0.576,0.0,0.432,0.571
0.431,0.565,0.0,0.429,0.576
0.44,0.561,1.0,0.431,0.565
0.454,0.578,0.0,0.44,0.561
0.465,0.559,0.0,0.454,0.578
0.462,0.561,0.0,0.465,0.559
0.472,0.55,0.0,0.462,0.561
0.466,0.55,0.0,0.472,0.55
0.462,0.544,0.0,0.466,0.55
0.466,0.556,0.0,0.462,0.544
0.46,0.552,0.0,0.466,0.556
0.461,0.552,0.0,0.46,0.552
0.455,0.568,0.0,0.461,0.552
0.463,0.573,0.0,0.455,0.568
0.445,0.559,0.0,0.463,0.573
0.441,0.573,0.0,0.445,0.559
0.451,0.584,0.0,0.441,0.573
0.456,0.573,0.0,0.451,0.584
0.46,0.571,0.0,0.456,0.573
0.475,0.576,0.0,0.46,0.571
0.471,0.565,0.0,0.475,0.576
0.464,0.554,0.0,0.471,0.565
0.461,0.568,0.0,0.464,0.554
0.467,0.558,1.0,0.461,0.568
0.465,0.562,1.0,0.467,0.558
0.469,0.565,1.0,0.465,0.562
0.461,0.57,1.0,0.469,0.565
0.451,0.573,0.0,0.461,0.57
0.446,0.576,0.0,0.451,0.573
0.449,0.56,1.0,0.446,0.576
0.446,0.571,0.0,0.449,0.56
0.443,0.564,0.0,0.446,0.571
0.43,0.554,0.0,0.443,0.564
0.44,0.551,0.0,0.43,0.554
0.447,0.555,0.0,0.44,0.551
0.457,0.561,0.0,0.447,0.555
0.458,0.556,0.0,0.457,0.561
0.464,0.564,0.0,0.458,0.556
0.466,0.57,0.0,0.464,0.564
0.452,0.552,0.0,0.466,0.57
0.443,0.536,0.0,0.452,0.552
