3cc39f92-e725-4db2-ad28-da3438ddc495_(t),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),3cc39f92-e725-4db2-ad28-da3438ddc495_(t-1),cc68ecef-13d8-44d0-8734-8e1d93b536e2_(t-1)
0.307,0.445,1.0,0.303,0.448
0.306,0.443,1.0,0.307,0.445
0.319,0.423,1.0,0.306,0.443
0.305,0.426,0.0,0.319,0.423
0.311,0.428,0.0,0.305,0.426
0.312,0.433,0.0,0.311,0.428
0.319,0.441,0.0,0.312,0.433
0.319,0.441,0.0,0.319,0.441
0.311,0.439,0.0,0.319,0.441
0.307,0.428,0.0,0.311,0.439
0.31,0.429,0.0,0.307,0.428
0.309,0.431,0.0,0.31,0.429
0.305,0.453,0.0,0.309,0.431
0.285,0.478,0.0,0.305,0.453
0.281,0.471,0.0,0.285,0.478
0.284,0.459,0.0,0.281,0.471
0.288,0.446,0.0,0.284,0.459
0.276,0.449,0.0,0.288,0.446
0.282,0.45,0.0,0.276,0.449
0.283,0.44,0.0,0.282,0.45
0.278,0.432,0.0,0.283,0.44
0.259,0.416,0.0,0.278,0.432
0.27,0.398,0.0,0.259,0.416
0.275,0.365,0.0,0.27,0.398
0.266,0.364,0.0,0.275,0.365
0.272,0.363,0.0,0.266,0.364
0.274,0.373,0.0,0.272,0.363
0.268,0.38,0.0,0.274,0.373
0.273,0.384,0.0,0.268,0.38
0.27,0.389,0.0,0.273,0.384
0.271,0.399,0.0,0.27,0.389
0.272,0.399,0.0,0.271,0.399
0.279,0.399,0.0,0.272,0.399
0.264,0.404,0.0,0.279,0.399
0.271,0.409,0.0,0.264,0.404
0.27,0.411,0.0,0.271,0.409
0.271,0.403,0.0,0.27,0.411
0.266,0.394,0.0,0.271,0.403
0.269,0.394,0.0,0.266,0.394
0.257,0.395,0.0,0.269,0.394
0.274,0.381,0.0,0.257,0.395
0.274,0.385,0.0,0.274,0.381
0.268,0.392,0.0,0.274,0.385
0.263,0.401,0.0,0.268,0.392
0.264,0.397,0.0,0.263,0.401
0.254,0.401,0.0,0.264,0.397
0.266,0.413,0.0,0.254,0.401
0.264,0.408,0.0,0.266,0.413
0.267,0.402,0.0,0.264,0.408
0.262,0.399,0.0,0.267,0.402
0.268,0.421,0.0,0.262,0.399
0.269,0.43,0.0,0.268,0.421
0.272,0.438,0.0,0.269,0.43
0.27,0.429,0.0,0.272,0.438
0.267,0.415,0.0,0.27,0.429
0.263,0.41,0.0,0.267,0.415
0.26,0.413,0.0,0.263,0.41
0.264,0.408,0.0,0.26,0.413
0.269,0.416,0.0,0.264,0.408
0.263,0.412,0.0,0.269,0.416
0.267,0.41,0.0,0.263,0.412
0.265,0.398,0.0,0.267,0.41
