Chain_a1	Chain_a2	Chain_b	Chain_c1	Chain_c2	Chain_d	Fork_a1	Fork_a2	Fork_b	Fork_c1	Fork_c2	Fork_d	Collider_a1	Collider_a2	Collider_b	Collider_c1	Collider_c2	Collider_d
1	0.409	0.175	0.045	1	0	0.741	0.347	0.525	0.551	1	0	0.118	0	0	0	1	0.021	0
2	0.198	0.134	0.821	1	0	0.31	0.775	0.343	0.133	1	0	0.378	0	0	0	0.996	0	0
3	0.383	0.907	0.01	1	0	0.914	0.11	0.781	0.653	1	0	0.525	0	0	0	1	0	0
4	0.136	0.467	0.499	1	0	0.842	0.432	0.848	0.9	1	0.008	0.93	0	0	0	1	0.001	0
5	0.399	0.969	0.925	1	0	0.533	0.387	0.789	0.245	1	0.002	0.43	0	0	0	1	0.004	0
6	0.184	0.52	0.546	1	0	0.029	0.844	0.464	0.951	1	0	0.491	0	0	0	1	0	0
7	0.519	0.886	0.687	1	0	0.797	0.577	0.788	0.133	1	0	0.185	0	0	0	1	0	0
8	0.417	0.322	0.499	1	0	0.846	0.643	0.785	0.197	1	0	0.496	0	0	0	1	0	0
9	0.569	0.677	0.377	1	0	0.709	0.275	0.1	0.833	1	0.001	0.739	0	0	0	1	0	0
10	0.894	0.741	0.15	1	0	0.284	0.157	0.912	0.208	1	0	0.701	0	0	0	1	0.018	0
