Chain_a1	Chain_a2	Chain_b	Chain_c1	Chain_c2	Chain_d	Fork_a1	Fork_a2	Fork_b	Fork_c1	Fork_c2	Fork_d	Collider_a1	Collider_a2	Collider_b	Collider_c1	Collider_c2	Collider_d
1	0.413	0.196	0.049	0.038	0.118	0.737	0.355	0.549	0.53	0.48	0.585	0.123	0	0	0	0.516	0.001	0
2	0.196	0.134	0.844	0.27	0.042	0.325	0.797	0.329	0.111	0.262	0.005	0.391	0	0	0	0.091	0	0
3	0.384	0.931	0.008	0.22	0.097	0.903	0.099	0.813	0.633	0.15	0.011	0.567	0	0	0	0.028	0	0
4	0.129	0.498	0.451	0.226	0.492	0.869	0.426	0.84	0.913	0.011	0.476	0.936	0	0	0	0.013	0	0
5	0.373	0.961	0.912	0.225	0.019	0.492	0.382	0.808	0.244	0.427	0.535	0.426	0	0	0	0.002	0.002	0
6	0.164	0.507	0.523	0.476	0.011	0.038	0.857	0.461	0.958	0.149	0.229	0.508	0	0	0	0.033	0	0
7	0.527	0.889	0.69	0.318	0.052	0.779	0.617	0.78	0.14	0.877	0.19	0.205	0	0	0	0.007	0	0
8	0.409	0.32	0.492	0.841	0.021	0.842	0.671	0.771	0.183	0.019	0.337	0.526	0	0	0	0.005	0	0
9	0.59	0.722	0.395	0.054	0.031	0.704	0.27	0.081	0.843	0.83	0.335	0.721	0	0	0	0.084	0	0
10	0.891	0.736	0.16	0.674	0.001	0.296	0.151	0.902	0.203	0.921	0.045	0.721	0	0	0	0	0	0
