Chain_a1	Chain_a2	Chain_b	Chain_c1	Chain_c2	Chain_d	Fork_a1	Fork_a2	Fork_b	Fork_c1	Fork_c2	Fork_d	Collider_a1	Collider_a2	Collider_b	Collider_c1	Collider_c2	Collider_d
1	0	0	0.15	1	0	1	0	0	0.511	1	0	0.995	0	0	0	1	0.098	0
2	0	0	0.842	1	0	1	0	0	0.18	1	0	1	0	0	0	1	0.026	0
3	0	0	0.008	1	0	1	0	0	0.451	1	0	1	0	0	0	1	0	0
4	0	0	0.372	1	0.001	1	0	0	0.886	1	0	1	0	0	0	1	0.048	0
5	0	0	0.825	1	0	1	0	0	0.412	1	0	1	0	0	0	1	0.133	0
6	0	0	0.833	1	0	0.981	0	0	0.912	1	0	1	0	0.002	0	1	0	0
7	0	0	0.885	1	0	1	0	0	0.244	1	0	1	0	0.002	0.006	1	0.001	0
8	0	0	0.447	1	0	1	0	0	0.17	1	0	1	0	0.999	0	1	0.046	0
9	0	0	0.508	1	0	1	0	0	0.555	1	0	1	0	0	0	1	0	0
10	0	0	0.179	1	0	1	0	0	0.218	1	0	1	0	0.532	0	1	0.172	0
