Chain_a1	Chain_a2	Chain_b	Chain_c1	Chain_c2	Chain_d	Fork_a1	Fork_a2	Fork_b	Fork_c1	Fork_c2	Fork_d	Collider_a1	Collider_a2	Collider_b	Collider_c1	Collider_c2	Collider_d
1	1	0	1	1	0	0.483	1	0	1	1	0	0.092	1	0	1	1	0.423	0.022
2	1	0	1	1	0	0.267	1	0	1	1	0	0.094	1	0	1	1	0.568	0.003
3	1	0.004	1	1	0	0.577	1	0.002	1	1	0	0.318	1	0	1	1	0.511	0.01
4	1	0	1	1	0	0.58	1	0.001	1	1	0	0.688	1	0	1	1	0.245	0.001
5	1	0.003	1	1	0	0.458	1	0.006	1	1	0	0.627	1	0	1	1	0.22	0.041
6	1	0	1	1	0	0.537	1	0.001	1	1	0	0.292	1	0	1	1	0.514	0.173
7	1	0.001	1	1	0	0.622	1	0	1	1	0	0.522	1	0	1	1	0.495	0.035
8	1	0	1	1	0	0.572	1	0.003	1	1	0	0.437	1	0	1	1	0.079	0.078
9	1	0.002	1	1	0	0.476	1	0	1	1	0	0.408	1	0	1	1	0.116	0.003
10	1	0	1	1	0	0.46	1	0	1	1	0	0.713	1	0	1	1	0.592	0
