Chain_a1	Chain_a2	Chain_b	Chain_c1	Chain_c2	Chain_d	Fork_a1	Fork_a2	Fork_b	Fork_c1	Fork_c2	Fork_d	Collider_a1	Collider_a2	Collider_b	Collider_c1	Collider_c2	Collider_d
1	1	0.146	1	1	0	0.61	1	0.445	1	1	0	0.024	1	0	1	1	0.461	0
2	1	0.044	1	1	0	0.116	1	0.193	1	1	0	0.028	1	0	1	1	0.588	0
3	1	0.847	1	1	0	1	1	0.744	1	1	0	0.355	1	0	1	1	0.707	0.001
4	1	0.39	1	1	0	1	1	0.815	1	1	0	0.924	1	0	1	1	0.456	0
5	1	0.849	1	1	0	0.546	1	0.828	1	1	0	0.799	1	0	1	1	0.941	0.003
6	1	0.442	1	1	0	0.694	1	0.294	1	1	0	0.214	1	0	1	1	0.502	0.016
7	1	0.767	1	1	0	1	1	0.56	1	1	0	0.645	1	0	1	1	0.734	0
8	1	0.229	1	1	0	1	1	0.884	1	1	0	0.517	1	0	1	1	0.103	0.003
9	1	0.743	1	1	0	0.621	1	0.037	1	1	0	0.452	1	0	1	1	0.039	0
10	1	0.603	1	1	0	0.517	1	0.777	1	1	0	0.938	1	0	1	1	0.817	0
