Chain_a1	Chain_a2	Chain_b	Chain_c1	Chain_c2	Chain_d	Fork_a1	Fork_a2	Fork_b	Fork_c1	Fork_c2	Fork_d	Collider_a1	Collider_a2	Collider_b	Collider_c1	Collider_c2	Collider_d
1	1	0.141	1	1	0.017	0.652	1	0.458	1	1	0.04	0.015	1	0	1	1	0.423	0
2	1	0.033	1	1	0.003	0.132	1	0.188	1	1	0.029	0.03	1	0	1	1	0.994	0
3	1	0.845	1	1	0.07	1	1	0.772	1	1	0.004	0.363	1	0	1	1	0.996	0
4	1	0.402	1	1	0.123	1	1	0.797	1	1	0.077	0.937	1	0	1	1	0.959	0
5	1	0.846	1	1	0.012	0.539	1	0.815	1	1	0.157	0.808	1	0	1	1	1	0
6	1	0.442	1	1	0	0.668	1	0.304	1	1	0.016	0.223	1	0	1	1	0.954	0.026
7	1	0.788	1	1	0.001	1	1	0.508	1	1	0.049	0.669	1	0	1	1	0.882	0.001
8	1	0.244	1	1	0	1	1	0.879	1	1	0.147	0.537	1	0	1	1	0.508	0.003
9	1	0.724	1	1	0.001	0.656	1	0.049	1	1	0.001	0.445	1	0	1	1	0.078	0
10	1	0.606	1	1	0.003	0.547	1	0.786	1	1	0.001	0.935	1	0	1	1	0.996	0
