CMIh_local_mean	CMIh_local_const_mean	Global_CMIh_mean	MS_local_mean	MS_local_const_mean	Global_MS_mean
chain_2021-11-15_3000.csv	0.251	0.244	0	0.015	0.014	0
chain_2021-11-15_8000.csv	0.165	0.151	0	0.046	0.049	0.039
chain_2021-11-15_10000.csv	0.182	0.188	0	0.108	0.113	0.557
chain_2021-12-13_4000.csv	0.177	0.162	0	0	0.001	0.001
chain_2021-12-13_15000.csv	0.008	0.005	0	0	0	0
chain_2021-12-13_23000.csv	0.374	0.393	0	0.078	0.076	0.012
chain_2022-01-18_1000.csv	0.039	0.036	0	0.365	0.375	0.594
chain_2022-01-18_4000.csv	0.516	0.489	0	0.506	0.492	0.193
chain_2022-01-18_6000.csv	0.094	0.11	0	0.112	0.1	0.167
chain_2022-02-23_20000.csv	0.095	0.05	0	0.032	0.021	0
chain_2022-02-23_30000.csv	0.025	0.023	0	0.008	0.004	0
chain_2022-02-23_40000.csv	0.657	0.667	0	0.057	0.059	0
fork_2021-11-15_3000.csv	0.244	0.258	0	0.175	0.195	0.647
fork_2021-11-15_8000.csv	0.482	0.49	0	0.722	0.727	0.39
fork_2021-11-15_10000.csv	0.018	0.014	0	0.055	0.047	0.004
fork_2021-12-13_4000.csv	0.029	0.045	0	0.089	0.081	0.064
fork_2021-12-13_15000.csv	0.588	0.599	0	0.734	0.732	0.529
fork_2021-12-13_23000.csv	0.897	0.906	0	0.416	0.447	0.391
fork_2022-01-18_1000.csv	0.139	0.165	0	0.048	0.043	0.023
fork_2022-01-18_4000.csv	0.251	0.243	0	0.105	0.128	0.067
fork_2022-01-18_6000.csv	0.028	0.016	0	0.281	0.306	0.27
fork_2022-02-23_20000.csv	0.718	0.706	0	0.41	0.4	0.374
fork_2022-02-23_30000.csv	0.049	0.04	0	0.008	0.007	0.002
fork_2022-02-23_40000.csv	0.435	0.427	0	0.227	0.254	0.161
conDependence_2021-11-15_3000.csv	0	0	0	1	1	1
conDependence_2021-11-15_8000.csv	0	0	0	1	1	1
conDependence_2021-11-15_10000.csv	0.001	0	0.004	1	1	1
conDependence_2021-12-13_4000.csv	0	0	0.004	1	1	1
conDependence_2021-12-13_15000.csv	0.403	0.371	0.492	1	1	1
conDependence_2021-12-13_23000.csv	0.041	0.032	0.061	1	1	1
conDependence_2022-01-18_1000.csv	0.18	0.162	0.048	1	1	1
conDependence_2022-01-18_4000.csv	0	0	0	1	1	1
conDependence_2022-01-18_6000.csv	0	0	0	1	1	1
conDependence_2022-02-23_20000.csv	0	0	0	1	1	1
conDependence_2022-02-23_30000.csv	0	0	0	1	1	1
conDependence_2022-02-23_40000.csv	0	0	0	1	1	1
